PDB ID,Resolution,Linear Min. Error,Linear Max. Error,Linear MAE,Neural Min. Error,Neural Max. Error,Neural MAE
6rpo,2.4,-0.13509678840637207,0.5119884014129639,0.012052834965288639,-0.3222186863422394,0.6271343231201172,0.007888351567089558
6nmi,3.7,-0.9689242243766785,1.0148508548736572,0.10502790659666061,-0.36625373363494873,0.45437589287757874,0.010137117467820644
6n38,3.7,-0.5595278739929199,0.6772359013557434,0.04267693683505058,-0.4094069004058838,0.7943629026412964,0.010904745198786259
5v7q,3.7,-0.974233090877533,1.0102068185806274,0.08579325675964355,-0.3215658962726593,0.5974570512771606,0.00927951280027628
6q6i,3.7,-0.9643005728721619,1.005610704421997,0.10001536458730698,-0.34338194131851196,0.5757349729537964,0.011480072513222694
6gov,3.7,-0.9807189702987671,1.0082495212554932,0.09891905635595322,-0.3974032402038574,0.8121530413627625,0.01067407988011837
7a6u,3.6,-0.9768637418746948,1.0083431005477905,0.09959530830383301,-0.30780574679374695,0.684731662273407,0.009164605289697647
6p62,3.6,-0.9929505586624146,1.0116785764694214,0.09659524261951447,-0.27093902230262756,0.39829814434051514,0.009001652710139751
5tc1,3.6,3.153410025782419e-17,1.0208708047866821,0.07017429172992706,-0.32806944847106934,0.5230579376220703,0.008099223487079144
5gjv,3.6,-0.7197549343109131,1.0594956874847412,0.047126654535532,-0.16274011135101318,0.2618311643600464,0.005491442978382111
6acc,3.6,-0.9590957760810852,1.0676467418670654,0.10282409936189651,-0.2835862636566162,0.40102946758270264,0.008182690478861332
6hma,2.6,-0.9728135466575623,1.003881573677063,0.07092452049255371,-0.3566778302192688,0.6824628114700317,0.007891484536230564
7k43,2.6,-0.9643164873123169,1.0174837112426758,0.06375042349100113,-0.3502480685710907,0.8040430545806885,0.008617781102657318
6e0c,2.6,-0.9574337005615234,1.0054079294204712,0.07010647654533386,-0.8216598033905029,0.5799276232719421,0.013985640369355679
6x9o,2.6,-0.9681968092918396,1.0098861455917358,0.07333444058895111,-0.2983162999153137,0.4283275604248047,0.009101358242332935
7cm5,2.6,3.904583658825909e-17,1.0033220052719116,0.05234988033771515,-0.3313908278942108,0.7554967999458313,0.009031026624143124
6s61,1.8,-0.10350033640861511,0.615668535232544,0.003934214822947979,-0.3178863823413849,0.47290658950805664,0.004113617818802595
6v21,1.8,-0.13681507110595703,0.5089444518089294,0.009377243928611279,-0.38314464688301086,0.5002856254577637,0.008128659799695015
5k12,1.8,-0.8750340342521667,1.000378131866455,0.04065734148025513,-0.3026675283908844,0.49974820017814636,0.007048286497592926
7bv2,2.5,-0.9752480983734131,1.0144078731536865,0.0707404762506485,-0.8780115246772766,0.6157296895980835,0.01377458218485117
6ysi,2.5,-0.9335660934448242,1.0056718587875366,0.05462691932916641,-0.29688045382499695,0.5850337743759155,0.006876783445477486
6v4n,2.5,-0.9517571926116943,1.001989722251892,0.06542298197746277,-0.380013108253479,0.6226589679718018,0.007836121134459972
6wbv,2.5,-0.9119390249252319,1.0488712787628174,0.059552356600761414,-0.27302786707878113,0.2648788094520569,0.006399713922291994
6q04,2.5,-0.9232521653175354,1.1906658411026,0.06646307557821274,-0.30366262793540955,0.5104989409446716,0.008839938789606094
6uva,2.3,-0.9459937214851379,1.0061267614364624,0.053636547178030014,-0.26091268658638,0.36695396900177,0.007533096708357334
6l3t,2.3,-0.92573481798172,1.0050081014633179,0.05925030633807182,-0.255477637052536,0.39197877049446106,0.00714148161932826
6sk0,2.3,-0.9259035587310791,1.002893090248108,0.0666598379611969,-0.22821030020713806,0.293540358543396,0.006851155776530504
6la3,2.3,-0.9676591157913208,1.000809907913208,0.07116896659135818,-0.3798055052757263,0.7728672027587891,0.008459550328552723
6wzg,2.3,-0.8972893357276917,1.016096830368042,0.05209842324256897,-0.31940609216690063,0.4869694411754608,0.008521285839378834
6xz7,2.1,-0.9053404331207275,1.001049518585205,0.04002736136317253,-0.2771297097206116,0.48949241638183594,0.006443205755203962
7kjr,2.1,-0.9097726345062256,1.0104387998580933,0.056677430868148804,-0.23839664459228516,0.29805105924606323,0.0065281204879283905
7jfo,2.1,-0.9709233641624451,0.9964905977249146,0.06230735033750534,-0.3066660463809967,0.3706320524215698,0.0075072660110890865
6x18,2.1,-0.9572738409042358,1.011920690536499,0.04806956276297569,-0.2735465168952942,0.2897271513938904,0.0066745285876095295
6rjh,2.1,-0.12958157062530518,0.5231435298919678,0.0115544768050313,-0.3125706911087036,0.7374004125595093,0.007365558762103319
6zgl,1.9,-0.9397360682487488,1.001922369003296,0.0514334961771965,-0.2969057261943817,0.4825459122657776,0.007940074428915977
7jjp,1.9,-0.9045518636703491,1.0030430555343628,0.0452403724193573,-0.3256833851337433,0.39501258730888367,0.007137185428291559
6cvm,1.9,-0.9246196746826172,1.0034931898117065,0.0365554615855217,-0.3551233112812042,0.8706305623054504,0.008001958951354027
7a6b,1.3,-0.09431144595146179,0.5045031309127808,0.0035078886430710554,-0.36817553639411926,0.3414430618286133,0.004212460480630398
7k3v,1.3,-0.08700460195541382,0.46830809116363525,0.0035882580559700727,-0.2585448920726776,0.309482216835022,0.0038196491077542305
